pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
437067,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2593750CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.375e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,767350,,-19800,0,1,20,30,0,1.46525e+06,288800,1,1,1,1,0,1,0,-1,0,0,600
437068,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2593500CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.35e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,783300,,-19800,0,1,20,30,0,1.4864e+06,297450,1,1,1,1,0,1,0,-1,0,0,600
437069,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2593250CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.325e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,799450,,-19800,0,1,20,30,0,1.50765e+06,306300,1,1,1,1,0,1,0,-1,0,0,600
437070,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2593000CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.3e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,731100,,-19800,0,1,20,30,5,1.52905e+06,315350,1,1,1,1,0,1,0,-1,0,0,600
437071,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2592750CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.275e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,832300,,-19800,0,1,20,30,0,1.55055e+06,324650,1,1,1,1,0,1,0,-1,0,0,600
437072,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2592500CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.25e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,849000,,-19800,0,1,20,30,0,1.57215e+06,334100,1,1,1,1,0,1,0,-1,0,0,600
437073,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2592250CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.225e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,865900,,-19800,0,1,20,30,0,1.59385e+06,343750,1,1,1,1,0,1,0,-1,0,0,600
437074,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2592000CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.2e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,919050,,-19800,0,1,20,30,6,1.6157e+06,353650,1,1,1,1,0,1,0,-1,0,0,600
437075,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2591750CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.175e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,900250,,-19800,0,1,20,30,0,1.6376e+06,363700,1,1,1,1,0,1,0,-1,0,0,600
437076,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2593750PE,PE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.375e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,265050,,-19800,0,1,20,30,0,666100,83250,1,1,1,1,0,1,0,-1,0,0,600
437077,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2593500PE,PE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.35e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,256250,,-19800,0,1,20,30,0,650050,79700,1,1,1,1,0,1,0,-1,0,0,600
437078,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2593250PE,PE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.325e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,247650,,-19800,0,1,20,30,0,634200,76250,1,1,1,1,0,1,0,-1,0,0,600
437079,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2593000PE,PE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.3e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,309850,,-19800,0,1,20,30,11,618500,72900,1,1,1,1,0,1,0,-1,0,0,600
437080,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2592750PE,PE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.275e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,231050,,-19800,0,1,20,30,0,603050,69650,1,1,1,1,0,1,0,-1,0,0,600
437081,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2592500PE,PE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.25e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,223050,,-19800,0,1,20,30,0,587800,66550,1,1,1,1,0,1,0,-1,0,0,600
437082,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2592250PE,PE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.225e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,215200,,-19800,0,1,20,30,0,572750,63550,1,1,1,1,0,1,0,-1,0,0,600
437083,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2592000PE,PE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.2e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,309250,,-19800,0,1,20,30,20,557900,60650,1,1,1,1,0,1,0,-1,0,0,600
437084,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2591750PE,PE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.175e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,200150,,-19800,0,1,20,30,0,543250,57850,1,1,1,1,0,1,0,-1,0,0,600
